,coef,std err,t,P>|t|,[0.025,0.975]
avg_sale_price_1,-0.0966,0.02,-4.798,0.0,-0.136,-0.057
avg_sale_price_3,-0.2298,0.017,-13.59,0.0,-0.263,-0.197
avg_sale_price_4,0.1148,0.022,5.335,0.0,0.073,0.157
avg_sale_price_5,-0.5948,0.025,-23.399,0.0,-0.645,-0.545
avg_sale_price_6,-0.2995,0.023,-12.798,0.0,-0.345,-0.254
sales_sum,0.9057,0.009,100.339,0.0,0.888,0.923
winter,-0.0884,0.018,-4.855,0.0,-0.124,-0.053
spring,0.0571,0.018,3.251,0.001,0.023,0.092
summer,0.0737,0.018,4.172,0.0,0.039,0.108
DoW_5,-0.0298,0.015,-2.049,0.041,-0.058,-0.001
